id,frbr_uri,title,number,year,status,content_verified,type,issuing_body,source,search_score,snippet,hipotesis
20.0,/akn/id/act/uu/2003/13,Undang-Undang Nomor 13 Tahun 2003 tentang KETENAGAKERJAAN,13,2003,diubah,True,UU,,list_by_year,,,H4
14930.0,/akn/id/act/uu/2003/21,Undang-Undang Nomor 21 Tahun 2003 tentang Pengesahan Ilo Convention No. 81 Concerning Labour Inspection In Industry and Commerce (konvensi Ilo No. 81 Mengenai Pengawasan Ketenagakerjaan dalam Industri dan Perdagangan),21,2003,berlaku,True,UU,,list_by_year,,,H4
14833.0,/akn/id/act/uu/2004/19,Undang-Undang Nomor 19 Tahun 2004 tentang Penetapan Perpu 1-2004 Tentang Perubahan Uu 41-1999 Tentang Kehutanan Menjadi Uu,19,2004,berlaku,True,UU,,list_by_year,,,H4
14838.0,/akn/id/act/uu/2004/18,Undang-Undang Nomor 18 Tahun 2004 tentang Perkebunan,18,2004,berlaku,True,UU,,list_by_year,,,H4
12012.0,/akn/id/act/uu/2006/16,"Undang-Undang Nomor 16 Tahun 2006 tentang Sistem Penyuluhan Pertanian, Perikanan, dan Kehutanan",16,2006,berlaku,True,UU,,list_by_year,,,H4
1222.0,/akn/id/act/uu/2007/28,Undang-Undang Nomor 28 Tahun 2007 tentang Perubahan Ketiga atas Undang-Undang Nomor 6 Tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan,28,2007,berlaku,False,UU,,list_by_year,,,H4
2580.0,/akn/id/act/uu/2007/5,Undang-Undang Nomor 5 Tahun 2007 tentang Pembentukan Kabupaten Batu Bara di Provinsi Sumatera Utara,5,2007,berlaku,True,UU,,list_by_year,,,H4
2426.0,/akn/id/act/uu/2007/30,Undang-Undang Nomor 30 Tahun 2007 tentang Energi,30,2007,berlaku,True,UU,,list_by_year,,,H4
1114.0,/akn/id/act/uu/2007/39,Undang-Undang Nomor 39 Tahun 2007 tentang Perubahan atas Undang-Undang Nomor 11 Tahun 1995 tentang Cukai,39,2007,berlaku,False,UU,,list_by_year,,,H4
2882.0,/akn/id/act/uu/2008/36,Undang-Undang Nomor 36 Tahun 2008 tentang Perubahan Keempat Atas Undang-Undang Nomor 7 Tahun 1983 tentang Pajak Penghasilan,36,2008,berlaku,False,UU,,list_by_year,,,H4
2516.0,/akn/id/act/uu/2009/16,Undang-Undang Nomor 16 Tahun 2009 tentang Penetapan Perpu 5-2008 Tentang Perubahan Keempat Uu 6-1983 Tentang Ketentuan Umum dan Tata Cara Perpajakan Menjadi Uu,16,2009,berlaku,True,UU,,list_by_year,,,H4
1926.0,/akn/id/act/uu/2009/42,Undang-Undang Nomor 42 Tahun 2009 tentang Perubahan Ketiga Atas Undang-undang Nomor 8 Tahun 1983 Tentang Pajak Pertambahan Nilai Barang dan Jasa dan Pajak Penjualan Atas Barang Mewah,42,2009,berlaku,True,UU,,list_by_year,,,H4
217655.0,/akn/id/act/uu/2014/39,Undang-Undang Nomor 39 Tahun 2014 tentang Perkebunan,39,2014,berlaku,False,UU,,list_by_year,,,H4
12.0,/akn/id/act/uu/2016/11,Undang-Undang Nomor 11 Tahun 2016 tentang Pengampunan Pajak,11,2016,berlaku,True,UU,,list_by_year,,,H4
1845.0,/akn/id/act/uu/2016/15,Undang-Undang Nomor 15 Tahun 2016 tentang Pengesahan Maritime Labour Convention 2006 Konvensi Ketenagakerjaan Maritim 2006,15,2016,berlaku,True,UU,,list_by_year,,,H4
2119.0,/akn/id/act/uu/2017/9,Undang-Undang Nomor 9 Tahun 2017 tentang Penetapan Peraturan Pemerintah Pengganti Undang-undang Nomor 1 Tahun 2017 Tentang Akses Informasi Keuangan untuk Kepentingan Perpajakan Menjadi Undang-undang,9,2017,berlaku,True,UU,,list_by_year,,,H4
1219.0,/akn/id/act/uu/2018/9,Undang-Undang Nomor 9 Tahun 2018 tentang Penerimaan Negara Bukan Pajak,9,2018,berlaku,False,UU,,list_by_year,,,H4
1208.0,/akn/id/act/uu/2020/3,Undang-Undang Nomor 3 Tahun 2020 tentang Perubahan atas Undang-Undang Nomor 4 Tahun 2009 tentang Pertambangan Mineral dan Batubara,3,2020,berlaku,False,UU,,list_by_year,,,H4
1829.0,/akn/id/act/uu/2021/7,Undang-Undang Nomor 7 Tahun 2021 tentang Harmonisasi Peraturan Perpajakan,7,2021,berlaku,False,UU,,list_by_year,,,H4
32.0,/akn/id/act/uu/2025/2,Undang-Undang Nomor 2 Tahun 2025 tentang Perubahan Keempat atas Undang-Undang Nomor 4 Tahun 2009 tentang Pertambangan Mineral dan Batubara,2,2025,berlaku,False,UU,,list_by_year,,,H4
