uu_diuji,amar,jumlah
UU 11/2020 Cipta Kerja,Tidak Teridentifikasi,2
UU 11/2020 Cipta Kerja dan mempertahankan,Tidak Teridentifikasi,1
UU 11/2020 Cipta Kerja terhadap UUD 1945,Tidak Teridentifikasi,3
UU 11/2020 tentang,Tidak Teridentifikasi,2
UU 13/2003 Ketenagakerjaan,Ditolak,1
UU 13/2003 Ketenagakerjaan,Tidak Teridentifikasi,8
UU 13/2003 Ketenagakerjaan yaitu Pasal 155 ayat (2) menyatakan,Tidak Teridentifikasi,1
UU 13/2003 tentang,Tidak Teridentifikasi,2
UU 2/2022 Cipta Kerja menjadi Undang-,Tidak Teridentifikasi,1
UU 25/2007 Penanaman Modal,Tidak Teridentifikasi,7
UU 25/2007 tentang,Tidak Teridentifikasi,1
UU 3/2025,Tidak Teridentifikasi,1
UU Cipta Kerja,Tidak Teridentifikasi,9
UU Lainnya,Tidak Teridentifikasi,8
