year,status,jumlah
1947,berlaku,1
1961,tidak_berlaku,2
1962,berlaku,1
1966,berlaku,1
1985,berlaku,1
1986,tidak_berlaku,1
1998,tidak_berlaku,1
2000,berlaku,1
2000,tidak_berlaku,1
2003,berlaku,1
2003,diubah,1
2004,berlaku,2
2006,berlaku,1
2007,berlaku,4
2008,berlaku,1
2009,berlaku,2
2011,berlaku,1
2012,berlaku,2
2013,berlaku,3
2014,berlaku,2
2015,berlaku,1
2016,berlaku,5
2017,berlaku,2
2018,berlaku,5
2019,berlaku,3
2020,berlaku,3
2021,berlaku,2
2022,berlaku,1
2023,berlaku,1
2024,berlaku,1
2025,berlaku,7
2026,berlaku,2
