year,total,berlaku,tidak_berlaku,diubah,churn_rate
1947,1,1,0,0,0.0
1950,3,3,0,0,0.0
1958,1,1,0,0,0.0
1960,1,1,0,0,0.0
1961,2,0,2,0,100.0
1962,1,1,0,0,0.0
1963,1,1,0,0,0.0
1966,1,1,0,0,0.0
1967,1,1,0,0,0.0
1968,1,0,1,0,100.0
1970,2,1,1,0,50.0
1976,1,0,1,0,100.0
1977,1,0,1,0,100.0
1981,1,1,0,0,0.0
1984,1,1,0,0,0.0
1985,1,1,0,0,0.0
1986,3,2,1,0,33.3
1988,1,1,0,0,0.0
1990,2,2,0,0,0.0
1991,2,2,0,0,0.0
1993,2,2,0,0,0.0
1994,2,1,1,0,50.0
1995,1,0,1,0,100.0
1996,2,2,0,0,0.0
1997,1,1,0,0,0.0
1998,6,5,1,0,16.7
1999,5,2,3,0,60.0
2000,9,3,6,0,66.7
2003,43,42,0,1,2.3
2004,42,40,2,0,4.8
2005,19,15,4,0,21.1
2006,24,24,0,0,0.0
2007,50,49,1,0,2.0
2008,54,51,2,1,5.6
2009,54,53,1,0,1.9
2010,17,16,1,0,5.9
2011,31,30,1,0,3.2
2012,31,31,0,0,0.0
2013,30,30,0,0,0.0
2014,50,47,3,0,6.0
2015,20,20,0,0,0.0
2016,31,28,2,1,9.7
2017,27,27,0,0,0.0
2018,27,27,0,0,0.0
2019,36,36,0,0,0.0
2020,18,18,0,0,0.0
2021,21,20,1,0,4.8
2022,36,36,0,0,0.0
2023,28,28,0,0,0.0
2024,58,58,0,0,0.0
2025,41,41,0,0,0.0
2026,4,4,0,0,0.0
