PN_norm,total_sengketa,sources
Pn Palembang,40430,Deep Scrape + OSINT Detection
Pn Depok,21807,Deep Scrape
Pn Jakartautara,4488,Deep Scrape
Pn Sidoarjo,100,Enriched Scrape
Pn Negara,20,Enriched Scrape
Pn Tulungagung,3,Enriched Scrape + OSINT Detection
Pn Sumedang,2,Enriched Scrape + OSINT Detection
Pn Gorontalo,2,Enriched Scrape + OSINT Detection
Pn Gresik,2,OSINT Detection
Pn Ponorogo,2,Enriched Scrape + OSINT Detection
Pn Sarolangun,2,Enriched Scrape + OSINT Detection
Pn Sukabumikota,1,Enriched Scrape + OSINT Detection
Pn Batam,1,OSINT Detection
Pn Sinabang,1,OSINT Detection
Pn Soasio,1,Enriched Scrape + OSINT Detection
Pn Sragen,1,OSINT Detection
Pn Bontang,1,Enriched Scrape + OSINT Detection
Pn Samarinda,1,Enriched Scrape + OSINT Detection
Pn Surabayakota,1,Enriched Scrape + OSINT Detection
Pn Tasikmalaya,1,Enriched Scrape + OSINT Detection
Pn Ternate,1,OSINT Detection
Pn Trenggalek,1,OSINT Detection
Pn Tual,1,Enriched Scrape + OSINT Detection
Pn Sampang,1,OSINT Detection
Pn Praya,1,Enriched Scrape + OSINT Detection
Pn Purwokerto,1,Enriched Scrape + OSINT Detection
Pn Blitar,1,OSINT Detection
Pn Pekalongan,1,Enriched Scrape + OSINT Detection
Pn Bangil,1,Enriched Scrape + OSINT Detection
Pn Bekasikota,1,Enriched Scrape + OSINT Detection
Pn Merauke,1,OSINT Detection
Pn Mempawah,1,OSINT Detection
Pn Mataram,1,Enriched Scrape + OSINT Detection
Pn Manado,1,Enriched Scrape + OSINT Detection
Pn Makassar,1,OSINT Detection
Pn Limboto,1,OSINT Detection
Pn Jombang,1,Enriched Scrape + OSINT Detection
Pn Jember,1,Enriched Scrape + OSINT Detection
Pn Blangpidie,1,Enriched Scrape + OSINT Detection
Pn Ambon,1,Enriched Scrape + OSINT Detection
