Pengadilan,Avg_Lama_Proses,Volume_Kasus
Pn Stabat,159.8,20
Pn Samarinda,155.9,20
Pn Bandaaceh,133.6,20
Pn Ternate,128.1,20
Pn Sorong,119.22222222222223,9
Pn Tulungagung,104.2,20
Pn Blitar,102.8,20
Pn Wonogiri,101.95,20
Pn Kediri,95.45,20
Pn Ambon,87.05,20
Pn Cianjur,85.5,20
Pn Bukittinggi,81.95,20
Pn Kupang,80.35,20
Pn Jambi,77.15,20
Pn Sumedang,73.5,20
Pn Tebingtinggi,69.1,20
Pn Kisaran,65.0,20
Pn Purwokerto,62.55,20
Pn Indramayu,58.25,20
Pn Lubukpakam,57.05,20
Pn Bogor,55.6,20
Pn Binjai,54.8,20
Pn Palangkaraya,52.35,20
Pn Jayapura,50.8,20
Pn Subang,50.1,20
Pn Mojokerto,47.8,20
Pn Padang,45.4,20
Pn Metro,45.26315789473684,19
Pn Mataram,41.7,20
Pn Pekanbaru,41.3,20
Pn Kuningan,41.05,20
Pn Payakumbuh,40.25,20
Pn Banjarmasin,39.55,20
Pn Garut,39.25,20
Pn Karawang,37.85,20
Pn Gresik,37.5,20
Pn Tuban,37.05,20
Pn Sumenep,36.15,20
Pn Lamongan,35.5,20
Pn Balikpapan,35.1,20
Pn Tasikmalaya,34.95,20
Pn Kotabumi,33.421052631578945,19
Pn Depok,33.4,20
Pn Pontianak,33.0,20
Pn Rantauprapat,32.05,20
Pn Sampang,30.75,20
Pn Manado,28.8,20
Pn Sidoarjo,27.95,20
Pn Jakartautara,26.65,20
Pn Sragen,22.1,20
Pn Batam,17.7,20
Pn Jombang,17.2,20
Pn Palembang,16.25,20
Pn Jakartatimur,13.4,20
Pn Tangerang,9.5,20
Pn Solok,3.6,20
