date,tipe,provinsi,kabupaten,nilai_idr_bn
1990-03-01,Domestic,Aceh,East Aceh,0.7469
1990-03-01,Domestic,Aceh,South Aceh,3.1129
1990-03-01,Domestic,Banten,Serang,7.03
1990-03-01,Domestic,Banten,Tangerang,115.1398
1990-03-01,Domestic,Central Java,Karanganyar,1.9657
1990-03-01,Domestic,Central Java,Purworejo,2.1128
1990-03-01,Domestic,Central Sulawesi,Poso,0.8621
1990-03-01,Domestic,East Java,Sidoarjo,2.2189
1990-03-01,Domestic,East Java,Tulungagung,23.2111
1990-03-01,Domestic,Jambi,Sarolangun,0.5651
1990-03-01,Domestic,North Sumatera,Simalungun,0.1284
1990-03-01,Domestic,South Sulawesi,Takalar,0.4628
1990-03-01,Domestic,South Sumatera,Musi Rawas,0.7644
1990-03-01,Domestic,West Java,Bandung,114.0779
1990-03-01,Domestic,West Java,Bogor,14.5246
1990-03-01,Domestic,West Kalimantan,Ketapang,1.7793
1990-03-01,Domestic,West Kalimantan,Mempawah,6.968
1990-03-01,Domestic,West Sumatera,Padang Pariaman,9.1226
1990-03-01,Domestic,West Sumatera,Sijunjung,1.5834
1990-06-01,Domestic,Aceh,East Aceh,6.9547
1990-06-01,Domestic,Bali,Klungkung,0.0844
1990-06-01,Domestic,Banten,Tangerang,65.7992
1990-06-01,Domestic,Central Java,Demak,2.5204
1990-06-01,Domestic,Central Java,Karanganyar,2.5173
1990-06-01,Domestic,Central Java,Kudus,1.7381
1990-06-01,Domestic,Central Kalimantan,North Barito,1.8206
1990-06-01,Domestic,East Java,Kediri,118.0148
1990-06-01,Domestic,East Java,Malang,1.02
1990-06-01,Domestic,East Java,Mojokerto,1.41
1990-06-01,Domestic,East Java,Pasuruan,1.399
1990-06-01,Domestic,East Java,Sidoarjo,0.3
1990-06-01,Domestic,East Kalimantan,Kutai,4.6314
1990-06-01,Domestic,East Kalimantan,Kutai Kartanegara,4.6314
1990-06-01,Domestic,Jambi,Sarolangun,0.3722
1990-06-01,Domestic,North Sumatera,Langkat,2.2717
1990-06-01,Domestic,North Sumatera,North Tapanuli,220.9743
1990-06-01,Domestic,Riau,Bengkalis,21.1619
1990-06-01,Domestic,South Sumatera,Muara Enim,1.151
1990-06-01,Domestic,South Sumatera,Musi Banyuasin,1.7565
1990-06-01,Domestic,West Java,Bandung,21.2055
1990-06-01,Domestic,West Java,Bekasi,77.1707
1990-06-01,Domestic,West Java,Bogor,2.0
1990-06-01,Domestic,West Java,Cianjur,28.555
1990-06-01,Domestic,West Java,Purwakarta,10.7675
1990-06-01,Domestic,West Java,Sukabumi,3.55
1990-06-01,Domestic,West Java,Sumedang,1.912
1990-06-01,Domestic,West Nusa Tenggara,Sumbawa,1.0779
1990-06-01,Domestic,West Sumatera,Padang Pariaman,4.4643
1990-09-01,Domestic,Aceh,East Aceh,8.189
1990-09-01,Domestic,Bangka Belitung,Bangka,3.4077
1990-09-01,Domestic,Banten,Serang,13.0226
1990-09-01,Domestic,Banten,Tangerang,15.554
1990-09-01,Domestic,Central Java,Cilacap,3.7235
1990-09-01,Domestic,Central Java,Demak,4.725
1990-09-01,Domestic,Central Java,Karanganyar,5.47
1990-09-01,Domestic,Central Java,Sukoharjo,3.702
1990-09-01,Domestic,Central Kalimantan,East Kotawaringin,0.7501
1990-09-01,Domestic,Central Sulawesi,Donggala,0.6999
1990-09-01,Domestic,DI Yogyakarta,Sleman,0.0925
1990-09-01,Domestic,East Java,Gresik,2.996
1990-09-01,Domestic,East Java,Jember,0.1895
1990-09-01,Domestic,East Java,Malang,13.0639
1990-09-01,Domestic,East Java,Pasuruan,2.8049
1990-09-01,Domestic,Lampung,Central Lampung,1.4611
1990-09-01,Domestic,North Sumatera,Langkat,3.9805
1990-09-01,Domestic,Riau,Bengkalis,13.8611
1990-09-01,Domestic,South East Sulawesi,Kolaka,22.9997
1990-09-01,Domestic,West Java,Bandung,3.772
1990-09-01,Domestic,West Java,Bekasi,7.4097
1990-09-01,Domestic,West Java,Bogor,17.8988
1990-09-01,Domestic,West Java,Sumedang,14.0757
1990-12-01,Domestic,Bali,Badung,7.575
1990-12-01,Domestic,Bali,Buleleng,0.025
1990-12-01,Domestic,Banten,Serang,101.1
1990-12-01,Domestic,Banten,Tangerang,0.7323
1990-12-01,Domestic,Central Java,Batang,0.9
1990-12-01,Domestic,Central Java,Karanganyar,9.3632
1990-12-01,Domestic,Central Java,Kendal,62.5371
1990-12-01,Domestic,Central Java,Semarang,12.8554
1990-12-01,Domestic,DI Yogyakarta,Bantul,0.3153
1990-12-01,Domestic,DI Yogyakarta,Kulon Progo,0.1195
1990-12-01,Domestic,East Java,Gresik,81.0934
1990-12-01,Domestic,East Java,Madiun,9.709
1990-12-01,Domestic,East Java,Pacitan,6.148
1990-12-01,Domestic,East Java,Pasuruan,5.9789
1990-12-01,Domestic,East Java,Sidoarjo,3.5138
1990-12-01,Domestic,East Java,Tulungagung,2.2817
1990-12-01,Domestic,North Sumatera,Labuhanbatu,163.668
1990-12-01,Domestic,Papua,Biak Numfor,69.4
1990-12-01,Domestic,South Kalimantan,Barito Kuala,5.8004
1990-12-01,Domestic,South Sulawesi,Pinrang,0.1019
1990-12-01,Domestic,South Sumatera,Ogan Komering Ilir,16.0649
1990-12-01,Domestic,West Java,Bekasi,17.6477
1990-12-01,Domestic,West Java,Bogor,12.5965
1990-12-01,Domestic,West Java,Sumedang,21.7513
1990-12-01,Domestic,West Sulawesi,Mamuju,0.213
1991-03-01,Domestic,Banten,Tangerang,55.1193
1991-03-01,Domestic,Central Java,Demak,1.944
1991-03-01,Domestic,Central Java,Semarang,0.383
1991-03-01,Domestic,Central Java,Wonosobo,13.999
1991-03-01,Domestic,Central Sulawesi,Donggala,0.6254
1991-03-01,Domestic,East Java,Gresik,1.782
1991-03-01,Domestic,East Java,Pasuruan,11.439
1991-03-01,Domestic,East Java,Sidoarjo,0.9184
1991-03-01,Domestic,East Java,Tulungagung,4.6565
1991-03-01,Domestic,East Kalimantan,Kutai,6.6391
1991-03-01,Domestic,East Kalimantan,Kutai Kartanegara,6.6391
1991-03-01,Domestic,North Sumatera,Deli Serdang,6.5892
1991-03-01,Domestic,Riau,Bengkalis,10.5548
1991-03-01,Domestic,Riau Islands,Bintan,11.8481
1991-03-01,Domestic,South East Sulawesi,Kendari,6.4498
1991-03-01,Domestic,South Sulawesi,Sidenreng Rappang,0.2373
1991-03-01,Domestic,South Sumatera,Ogan Komering Ilir,2.3964
1991-03-01,Domestic,West Java,Bandung,82.8987
1991-03-01,Domestic,West Java,Bekasi,7.185
1991-03-01,Domestic,West Java,Bogor,2.0214
1991-03-01,Domestic,West Java,Cianjur,0.65
1991-03-01,Domestic,West Java,Garut,27.2461
1991-03-01,Domestic,West Java,Karawang,5.8
1991-03-01,Domestic,West Kalimantan,Mempawah,28.641
1991-03-01,Domestic,West Sulawesi,Mamuju,0.248
1991-06-01,Domestic,Bali,Badung,30.8696
1991-06-01,Domestic,Bali,Buleleng,3.017
1991-06-01,Domestic,Bali,Tabanan,0.5421
1991-06-01,Domestic,Banten,Serang,33.278
1991-06-01,Domestic,Banten,Tangerang,69.2608
1991-06-01,Domestic,Central Java,Boyolali,17.9781
1991-06-01,Domestic,Central Java,Demak,3.2569
1991-06-01,Domestic,Central Java,Pekalongan,0.8099
1991-06-01,Domestic,DI Yogyakarta,Sleman,5.8989
1991-06-01,Domestic,East Java,Gresik,3.2583
1991-06-01,Domestic,East Java,Pasuruan,3.8471
1991-06-01,Domestic,East Java,Probolinggo,1.4823
1991-06-01,Domestic,East Java,Sidoarjo,1.8523
1991-06-01,Domestic,Jambi,Batanghari,0.353
1991-06-01,Domestic,Lampung,Central Lampung,11.984
1991-06-01,Domestic,Lampung,North Lampung,0.4142
1991-06-01,Domestic,Maluku,Buru,22.986
1991-06-01,Domestic,Maluku,Central Maluku,8.2528
1991-06-01,Domestic,North Sulawesi,Minahasa,9.225
1991-06-01,Domestic,North Sumatera,Karo,6.2045
1991-06-01,Domestic,South East Sulawesi,Kendari,1.339
1991-06-01,Domestic,South Kalimantan,Tanah Laut,1.0957
1991-06-01,Domestic,South Sumatera,Musi Banyuasin,9.846
1991-06-01,Domestic,West Java,Bandung,65.3915
1991-06-01,Domestic,West Java,Bekasi,44.636
1991-06-01,Domestic,West Java,Bogor,14.618
1991-09-01,Domestic,Bali,Badung,105.04
1991-09-01,Domestic,Banten,Serang,6.204
1991-09-01,Domestic,Banten,Tangerang,7.891
1991-09-01,Domestic,Central Java,Karanganyar,106.2778
1991-09-01,Domestic,Central Kalimantan,East Kotawaringin,4.6732
1991-09-01,Domestic,East Java,Banyuwangi,4.193
1991-09-01,Domestic,East Java,Gresik,13.9025
1991-09-01,Domestic,East Java,Pasuruan,11.511
1991-09-01,Domestic,East Java,Sidoarjo,1.4934
1991-09-01,Domestic,East Kalimantan,Kutai,32.6141
1991-09-01,Domestic,East Kalimantan,Kutai Kartanegara,32.6141
1991-09-01,Domestic,East Nusa Tenggara,Kupang,0.9904
1991-09-01,Domestic,Lampung,Central Lampung,6.8132
1991-09-01,Domestic,North Sulawesi,Minahasa,0.0322
1991-09-01,Domestic,North Sumatera,Deli Serdang,5.3385
1991-09-01,Domestic,North Sumatera,South Tapanuli,7.418
1991-09-01,Domestic,Riau Islands,Bintan,1.075
1991-09-01,Domestic,South Sulawesi,Luwu,7.27
1991-09-01,Domestic,South Sulawesi,Maros,1.0708
1991-09-01,Domestic,West Java,Bandung,16.4824
1991-09-01,Domestic,West Java,Bekasi,6.4843
1991-09-01,Domestic,West Java,Bogor,0.2585
1991-09-01,Domestic,West Java,Karawang,2.3068
1991-09-01,Domestic,West Java,Sumedang,0.96
1991-09-01,Domestic,West Nusa Tenggara,West Lombok,2.1
1991-09-01,Domestic,West Sumatera,Padang Pariaman,2.3658
1991-12-01,Domestic,Aceh,East Aceh,3.3905
1991-12-01,Domestic,Banten,Serang,2.579
1991-12-01,Domestic,Banten,Tangerang,35.7314
1991-12-01,Domestic,Central Sulawesi,Donggala,0.5985
1991-12-01,Domestic,DI Yogyakarta,Sleman,2.6825
1991-12-01,Domestic,East Java,Gresik,2.0742
1991-12-01,Domestic,East Java,Pasuruan,2.6674
1991-12-01,Domestic,East Java,Probolinggo,3.7154
1991-12-01,Domestic,East Java,Sidoarjo,13.6177
1991-12-01,Domestic,Lampung,North Lampung,65.1234
