date,tipe,provinsi,kabupaten,nilai_idr_bn
1990-03-01,Foreign,Banten,Serang,206.8946
1990-03-01,Foreign,Banten,Tangerang,7.0211
1990-03-01,Foreign,Central Java,Demak,3.263
1990-03-01,Foreign,East Java,Gresik,26.9531
1990-03-01,Foreign,East Java,Kediri,52.0829
1990-03-01,Foreign,East Java,Sidoarjo,2.8999
1990-03-01,Foreign,North Sumatera,Deli Serdang,1.5628
1990-03-01,Foreign,South Sulawesi,Bulukumba,0.5263
1990-03-01,Foreign,South Sulawesi,Tana Toraja,6.28
1990-03-01,Foreign,South Sumatera,Musi Rawas,2.3107
1990-03-01,Foreign,West Java,Bandung,10.256
1990-03-01,Foreign,West Java,Bekasi,9.169
1990-03-01,Foreign,West Java,Karawang,0.495
1990-06-01,Foreign,Banten,Serang,3.5
1990-06-01,Foreign,West Java,Bogor,10.742
1990-06-01,Foreign,West Java,Indramayu,0.9184
1990-09-01,Foreign,Aceh,East Aceh,0.0051
1990-09-01,Foreign,Bali,Badung,3.636
1990-09-01,Foreign,Banten,Tangerang,5.8738
1990-09-01,Foreign,Central Kalimantan,West Kotawaringin,1.565
1990-09-01,Foreign,East Java,Sidoarjo,4.3
1990-09-01,Foreign,South East Sulawesi,Buton,1.0
1990-09-01,Foreign,West Java,Bandung,1.873
1990-09-01,Foreign,West Java,Bogor,6.9235
1990-09-01,Foreign,West Java,Purwakarta,0.8454
1990-12-01,Foreign,Banten,Tangerang,11.4024
1990-12-01,Foreign,East Java,Gresik,2.916
1990-12-01,Foreign,East Java,Pasuruan,2.0541
1990-12-01,Foreign,North Sumatera,Deli Serdang,1.5488
1990-12-01,Foreign,West Java,Purwakarta,8.0
1991-03-01,Foreign,Banten,Serang,6.9028
1991-03-01,Foreign,Banten,Tangerang,57.2321
1991-03-01,Foreign,Central Java,Banyumas,0.4
1991-03-01,Foreign,East Java,Sidoarjo,3.3249
1991-03-01,Foreign,North Sumatera,Labuhanbatu,0.3206
1991-03-01,Foreign,West Java,Bandung,7.8112
1991-03-01,Foreign,West Java,Bekasi,19.5096
1991-03-01,Foreign,West Java,Bogor,3.5645
1991-03-01,Foreign,West Java,Karawang,1.5846
1991-06-01,Foreign,Banten,Serang,42.6421
1991-06-01,Foreign,Banten,Tangerang,24.415
1991-06-01,Foreign,Central Java,Sukoharjo,20.557
1991-06-01,Foreign,Central Kalimantan,West Kotawaringin,8.1195
1991-06-01,Foreign,East Java,Pasuruan,2.193
1991-06-01,Foreign,East Java,Sidoarjo,3.754
1991-06-01,Foreign,North Sumatera,Deli Serdang,0.5109
1991-06-01,Foreign,South Kalimantan,Kotabaru,0.192
1991-06-01,Foreign,South West Papua,Sorong,1.5987
1991-06-01,Foreign,West Java,Bandung,1.3842
1991-06-01,Foreign,West Java,Bekasi,2.8353
1991-06-01,Foreign,West Java,Bogor,1.325
1991-06-01,Foreign,West Java,Karawang,32.0282
1991-06-01,Foreign,West Java,Sukabumi,1.0
1991-09-01,Foreign,Banten,Serang,0.37
1991-09-01,Foreign,Banten,Tangerang,40.0727
1991-09-01,Foreign,East Java,Mojokerto,1.8916
1991-09-01,Foreign,East Java,Probolinggo,0.0121
1991-09-01,Foreign,East Nusa Tenggara,Manggarai,1.3944
1991-09-01,Foreign,South Sumatera,Banyuasin,1.908
1991-09-01,Foreign,West Java,Bandung,1.2105
1991-09-01,Foreign,West Java,Bekasi,30.8827
1991-09-01,Foreign,West Java,Bogor,10.3152
1991-09-01,Foreign,West Java,Purwakarta,1.0
1991-09-01,Foreign,West Sumatera,Padang Pariaman,0.2817
1991-12-01,Foreign,Banten,Tangerang,41.3543
1991-12-01,Foreign,Central Java,Batang,21.7497
1991-12-01,Foreign,Central Java,Cilacap,0.0125
1991-12-01,Foreign,East Java,Pasuruan,7.55
1991-12-01,Foreign,East Java,Probolinggo,2.09
1991-12-01,Foreign,East Java,Situbondo,2.2325
1991-12-01,Foreign,West Java,Bandung,1.8773
1991-12-01,Foreign,West Java,Bekasi,13.705
1991-12-01,Foreign,West Java,Bogor,2.4434
1991-12-01,Foreign,West Java,Karawang,4.1
1991-12-01,Foreign,West Java,Purwakarta,36.67
1992-03-01,Foreign,Banten,Tangerang,28.9681
1992-03-01,Foreign,Central Java,Boyolali,0.85
1992-03-01,Foreign,Central Java,Demak,4.8805
1992-03-01,Foreign,Central Java,Semarang,0.1188
1992-03-01,Foreign,East Java,Mojokerto,39.158
1992-03-01,Foreign,East Java,Pasuruan,0.391
1992-03-01,Foreign,East Java,Probolinggo,0.0001
1992-03-01,Foreign,East Java,Sidoarjo,4.2
1992-03-01,Foreign,South Kalimantan,Tanah Laut,2.0375
1992-03-01,Foreign,West Java,Bandung,7.3731
1992-03-01,Foreign,West Java,Bekasi,8.7808
1992-03-01,Foreign,West Java,Bogor,18.2539
1992-03-01,Foreign,West Java,Purwakarta,31.3174
1992-06-01,Foreign,Banten,Tangerang,4.305
1992-06-01,Foreign,Central Java,Semarang,2.1
1992-06-01,Foreign,East Java,Gresik,2.0113
1992-06-01,Foreign,East Java,Pasuruan,747.8834
1992-06-01,Foreign,North Maluku,Morotai Island,1.0
