Nomor Perkara,Tanggal Register,Lama Proses,Sumber PN
16/Pdt.G.S/2026/PN Sda,09 Apr 2026,2,PN Sidoarjo
129/Pdt.G/2026/PN Sda,08 Apr 2026,3,PN Sidoarjo
15/Pdt.G.S/2026/PN Sda,07 Apr 2026,4,PN Sidoarjo
123/Pdt.G/2026/PN Sda,06 Apr 2026,5,PN Sidoarjo
14/Pdt.G.S/2026/PN Sda,02 Apr 2026,9,PN Sidoarjo
122/Pdt.G/2026/PN Sda,02 Apr 2026,9,PN Sidoarjo
13/Pdt.G.S/2026/PN Sda,01 Apr 2026,10,PN Sidoarjo
12/Pdt.G.S/2026/PN Sda,01 Apr 2026,10,PN Sidoarjo
118/Pdt.G/2026/PN Sda,01 Apr 2026,10,PN Sidoarjo
104/Pdt.G/2026/PN Sda,12 Mar 2026,30,PN Sidoarjo
101/Pdt.G/2026/PN Sda,10 Mar 2026,32,PN Sidoarjo
11/Pdt.G.S/2026/PN Sda,09 Mar 2026,33,PN Sidoarjo
96/Pdt.G/2026/PN Sda,05 Mar 2026,37,PN Sidoarjo
92/Pdt.G/2026/PN Sda,03 Mar 2026,39,PN Sidoarjo
10/Pdt.G.S/2026/PN Sda,26 Feb 2026,44,PN Sidoarjo
81/Pdt.G/2026/PN Sda,25 Feb 2026,45,PN Sidoarjo
75/Pdt.G/2026/PN Sda,19 Feb 2026,51,PN Sidoarjo
72/Pdt.G/2026/PN Sda,18 Feb 2026,52,PN Sidoarjo
69/Pdt.G/2026/PN Sda,17 Feb 2026,53,PN Sidoarjo
63/Pdt.G/2026/PN Sda,13 Feb 2026,57,PN Sidoarjo
53/Pdt.G/2026/PN Sda,06 Feb 2026,64,PN Sidoarjo
9/Pdt.G.S/2026/PN Sda,05 Feb 2026,65,PN Sidoarjo
51/Pdt.G/2026/PN Sda,05 Feb 2026,65,PN Sidoarjo
47/Pdt.G/2026/PN Sda,03 Feb 2026,67,PN Sidoarjo
8/Pdt.G.S/2026/PN Sda,26 Jan 2026,75,PN Sidoarjo
33/Pdt.G/2026/PN Sda,26 Jan 2026,75,PN Sidoarjo
32/Pdt.G/2026/PN Sda,26 Jan 2026,75,PN Sidoarjo
31/Pdt.G/2026/PN Sda,26 Jan 2026,75,PN Sidoarjo
7/Pdt.G.S/2026/PN Sda,22 Jan 2026,79,PN Sidoarjo
27/Pdt.G/2026/PN Sda,22 Jan 2026,79,PN Sidoarjo
382/Pdt.G/2024/PN Sda,15 Nov 2024,138,PN Sidoarjo
377/Pdt.G/2024/PN Sda,11 Nov 2024,31,PN Sidoarjo
44/Pdt.G.S/2024/PN Sda,30 Oct 2024,47,PN Sidoarjo
374/Pdt.G/2024/PN Sda,29 Oct 2024,204,PN Sidoarjo
43/Pdt.G.S/2024/PN Sda,25 Oct 2024,24,PN Sidoarjo
41/Pdt.G.S/2024/PN Sda,24 Oct 2024,28,PN Sidoarjo
358/Pdt.G/2024/PN Sda,22 Oct 2024,163,PN Sidoarjo
350/Pdt.G/2024/PN Sda,15 Oct 2024,41,PN Sidoarjo
348/Pdt.G/2024/PN Sda,11 Oct 2024,109,PN Sidoarjo
40/Pdt.G.S/2024/PN Sda,10 Oct 2024,33,PN Sidoarjo
39/Pdt.G.S/2024/PN Sda,03 Oct 2024,42,PN Sidoarjo
37/Pdt.G.S/2024/PN Sda,02 Oct 2024,29,PN Sidoarjo
36/Pdt.G.S/2024/PN Sda,24 Sep 2024,23,PN Sidoarjo
316/Pdt.G/2024/PN Sda,13 Sep 2024,26,PN Sidoarjo
35/Pdt.G.S/2024/PN Sda,11 Sep 2024,50,PN Sidoarjo
312/Pdt.G/2024/PN Sda,11 Sep 2024,22,PN Sidoarjo
310/Pdt.G/2024/PN Sda,09 Sep 2024,31,PN Sidoarjo
32/Pdt.G.S/2024/PN Sda,04 Sep 2024,30,PN Sidoarjo
31/Pdt.G.S/2024/PN Sda,04 Sep 2024,29,PN Sidoarjo
30/Pdt.G.S/2024/PN Sda,03 Sep 2024,27,PN Sidoarjo
297/Pdt.G/2024/PN Sda,02 Sep 2024,37,PN Sidoarjo
29/Pdt.G.S/2024/PN Sda,29 Aug 2024,39,PN Sidoarjo
294/Pdt.G/2024/PN Sda,29 Aug 2024,70,PN Sidoarjo
289/Pdt.G/2024/PN Sda,28 Aug 2024,34,PN Sidoarjo
288/Pdt.G/2024/PN Sda,27 Aug 2024,35,PN Sidoarjo
28/Pdt.G.S/2024/PN Sda,26 Aug 2024,50,PN Sidoarjo
286/Pdt.G/2024/PN Sda,26 Aug 2024,43,PN Sidoarjo
27/Pdt.G.S/2024/PN Sda,23 Aug 2024,41,PN Sidoarjo
143/Pdt.G/2023/PN Sda,15 May 2023,269,PN Sidoarjo
14/Pdt.G.S/2023/PN Sda,15 May 2023,15,PN Sidoarjo
139/Pdt.G/2023/PN Sda,11 May 2023,19,PN Sidoarjo
137/Pdt.G/2023/PN Sda,09 May 2023,182,PN Sidoarjo
12/Pdt.G.S/2023/PN Sda,18 Apr 2023,59,PN Sidoarjo
118/Pdt.G/2023/PN Sda,13 Apr 2023,32,PN Sidoarjo
117/Pdt.G/2023/PN Sda,13 Apr 2023,210,PN Sidoarjo
107/Pdt.G/2023/PN Sda,10 Apr 2023,36,PN Sidoarjo
11/Pdt.G.S/2023/PN Sda,06 Apr 2023,63,PN Sidoarjo
10/Pdt.G.S/2023/PN Sda,06 Apr 2023,7,PN Sidoarjo
124/Pdt.G/2021/PN SDA,30 Apr 2021,59,PN Sidoarjo
122/Pdt.G/2021/PN SDA,27 Apr 2021,146,PN Sidoarjo
8/Pdt.G.S/2021/PN SDA,19 Apr 2021,42,PN Sidoarjo
7/Pdt.G.S/2021/PN SDA,19 Apr 2021,17,PN Sidoarjo
115/Pdt.G/2021/PN SDA,19 Apr 2021,169,PN Sidoarjo
6/Pdt.G.S/2021/PN SDA,15 Apr 2021,69,PN Sidoarjo
5/Pdt.G.S/2021/PN SDA,08 Apr 2021,26,PN Sidoarjo
105/Pdt.G/2021/PN SDA,07 Apr 2021,79,PN Sidoarjo
101/Pdt.G/2021/PN SDA,06 Apr 2021,243,PN Sidoarjo
4/Pdt.G.S/2021/PN SDA,01 Apr 2021,32,PN Sidoarjo
94/Pdt.G/2021/PN SDA,25 Mar 2021,171,PN Sidoarjo
93/Pdt.G/2021/PN SDA,25 Mar 2021,182,PN Sidoarjo
86/Pdt.G/2021/PN SDA,22 Mar 2021,100,PN Sidoarjo
18/Pdt.G.S/2019/PN SDA,08 May 2019,20,PN Sidoarjo
17/Pdt.G.S/2019/PN SDA,08 May 2019,21,PN Sidoarjo
16/Pdt.G.S/2019/PN SDA,07 May 2019,9,PN Sidoarjo
15/Pdt.G.S/2019/PN SDA,07 May 2019,21,PN Sidoarjo
14/Pdt.G.S/2019/PN SDA,07 May 2019,9,PN Sidoarjo
13/Pdt.G.S/2019/PN SDA,07 May 2019,21,PN Sidoarjo
12/Pdt.G.S/2019/PN SDA,07 May 2019,22,PN Sidoarjo
122/Pdt.G/2019/PN SDA,03 May 2019,75,PN Sidoarjo
11/Pdt.G.S/2019/PN SDA,30 Apr 2019,22,PN Sidoarjo
10/Pdt.G.S/2019/PN SDA,24 Apr 2019,28,PN Sidoarjo
115/Pdt.G/2019/PN SDA,23 Apr 2019,147,PN Sidoarjo
122/Pdt.G/2016/PN SDA,15 Jun 2016,147,PN Sidoarjo
116/Pdt.G/2016/PN SDA,07 Jun 2016,129,PN Sidoarjo
111/Pdt.G/2016/PN SDA,31 May 2016,62,PN Sidoarjo
2/Pdt.G.S/2016/PN SDA,17 May 2016,15,PN Sidoarjo
98/Pdt.G/2016/PN SDA,11 May 2016,161,PN Sidoarjo
97/Pdt.G/2016/PN SDA,10 May 2016,154,PN Sidoarjo
96/Pdt.G/2016/PN SDA,10 May 2016,134,PN Sidoarjo
95/Pdt.G/2016/PN SDA,09 May 2016,225,PN Sidoarjo
1/Pdt.G.S/2026/PN Nga,06 Apr 2026,4,PN Negara
2/Pdt.G.S/2026/PN Nga,06 Apr 2026,4,PN Negara
355/Pdt.G/2025/PN Nga,30 Dec 2025,94,PN Negara
307/Pdt.G/2025/PN Nga,30 Oct 2025,162,PN Negara
281/Pdt.G/2025/PN Nga,09 Oct 2025,148,PN Negara
5/Pdt.G.S/2025/PN Nga,08 Oct 2025,48,PN Negara
273/Pdt.G/2025/PN Nga,02 Oct 2025,39,PN Negara
4/Pdt.G.S/2025/PN Nga,24 Sep 2025,1,PN Negara
3/Pdt.G.S/2025/PN Nga,01 Sep 2025,44,PN Negara
2/Pdt.G.S/2025/PN Nga,29 Aug 2025,45,PN Negara
1/Pdt.G.S/2025/PN Nga,08 Aug 2025,19,PN Negara
106/Pdt.G/2025/PN Nga,14 Apr 2025,16,PN Negara
47/Pdt.G/2025/PN Nga,07 Feb 2025,11,PN Negara
305/Pdt.G/2024/PN Nga,05 Dec 2024,33,PN Negara
238/Pdt.G/2024/PN Nga,17 Sep 2024,126,PN Negara
1/Pdt.G.S/2024/PN Nga,05 Sep 2024,25,PN Negara
2/Pdt.G.S/2024/PN Nga,05 Sep 2024,25,PN Negara
194/Pdt.G/2024/PN Nga,12 Aug 2024,15,PN Negara
160/Pdt.G/2024/PN Nga,02 Jul 2024,123,PN Negara
2/Pdt.G.S/2023/PN Nga,18 Oct 2023,35,PN Negara
