id,frbr_uri,title,number,year,status,content_verified,type,issuing_body,source,search_score,snippet
,/akn/id/act/permen-p2mi/2026/1,Peraturan Menteri Nomor 1 Tahun 2026 tentang Atase Ketenagakerjaan dan Staf Teknis Ketenagakerjaan pada Perwakilan Republik Indonesia di Luar Negeri,1,2026,berlaku,,PERMEN,,search:ketenagakerjaan,0.0865452,PERMEN Peraturan Menteri Nomor No 1 Tahun 2026 Peraturan Menteri Nomor 1 Tahun 2026 tentang Atase <b>Ketenagakerjaan</b> dan Staf Teknis <b>Ketenagakerjaan</b> pada Perwakilan Republik Indonesia di Luar Negeri Atase <b>Ketenagakerjaan</b> dan Staf Teknis <b>Ketenagakerjaan</b> pada Perwakilan Republik Indonesia di Luar
,/akn/id/act/permenaker/2026/1,Peraturan Menteri Nomor 1 Tahun 2026 tentang Pencabutan Peraturan Menteri Ketenagakerjaan Nomor 9 Tahun 2021 tentang Uraian Fungsi Organisasi Jabatan Pimpinan Tinggi Pratama dan Tugas Koordinator Jabatan Funsgional di Lingkungan Kementerian Ketenagakerjaan,1,2026,berlaku,,PERMEN,,search:ketenagakerjaan,0.0865452,PERMEN Peraturan Menteri Nomor No 1 Tahun 2026 Peraturan Menteri Nomor 1 Tahun 2026 tentang Pencabutan Peraturan Menteri <b>Ketenagakerjaan</b> Nomor 9 Tahun 2021 tentang Uraian Fungsi Organisasi Jabatan Pimpinan Tinggi Pratama dan Tugas Koordinator Jabatan Funsgional di Lingkungan Kementerian <b>Ketenagakerjaan</b> ... Pencabutan Peraturan Menteri <b>Ketenagakerjaan</b> Nomor 9 Tahun 2021 tentang Uraian Fungsi Organisasi Jabatan Pimpinan Tinggi Pratama dan Tugas Koordinator Jabatan Funsgional di Lingkungan Kementerian <b>Ketenagakerjaan</b>
,/akn/id/act/peraturan-bkpm/2025/5,Peraturan Badan Nomor 5 Tahun 2025 tentang PEDOMAN DAN TATA CARA PENYELENGGARAAN PERIZINAN BERUSAHA BERBASIS RISIKO DAN FASILITAS PENANAMAN MODAL MELALUI SISTEM PERIZINAN BERUSAHA TERINTEGRASI SECARA ELEKTRONIK ONLINE SINGLE SUBMISSION,5,2025,berlaku,,PERBAN,,search:cipta kerja,0.323916,"dengan Undang - Undang Nomor 6 Tahun 2023 tentang
Penetapan Peraturan Pemerintah Pengganti Undang -
Undang Nomor 2 Tahun 2022 tentang <b>Cipta</b> <b>Kerja</b>
(Lembaran Negara Republik I ndonesia Tahun 2023
Nomor 41, Tambahan Lembaran Negara Republik
Indonesia Nomor 6856);
b. Undang - Undang ... Undang - Undang
Nomor 6 Tahun 2 023 tentang Penetapan Peraturan
Pemerintah Pengganti Undang - Undang Nomor 2 Tahun
2022 tentang <b>Cipta</b> <b>Kerja</b> (Lembaran Negara Republik
Indonesia Tahun 2023 Nomor 41, Tam bahan Lembaran
Negara Republik Indonesia Nomor 6856);
c. Undang - Undang"
,/akn/id/act/perda-kab-karawang/2025/7,Peraturan Daerah Nomor 7 Tahun 2025 tentang Pencabutan 25 (Dua Puluh Lima) Peraturan Daerah Kabupaten Karawang,7,2025,berlaku,,PERDA,,search:cipta kerja,0.357088,"Undang-Undang Nomor 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang <b>Cipta</b> <b>Kerja</b> menjadi Undang-Undang.
Ketentuan Retribusi Penerbitan Peta dihapus dalam Undang-Undang Nomor 1 Tahun 2022 tentang Hubungan Keuangan Antara Pemerintah ... Undang-Undang Nomor 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang <b>Cipta</b> <b>Kerja</b> menjadi Undang-Undang.
Materi mengenai Pajak Penggunaan Energi Listrik sudah tercantum dalam Pasal 20 Peraturan Daerah Kabupaten Karawang Nomor"
,/akn/id/act/permen-atrbpn/2025/10,Peraturan Menteri Nomor 10 Tahun 2025 tentang Rencana Tata Ruang Wilayah Kabupaten Banyumas,10,2025,berlaku,,PERMEN,,search:cipta kerja,0.387921,"Jalan Banyumas Provinsi , Kementerian <b>Pekerjaan</b> Umum Kolektor Primer lainnya APBD Kabupaten Pemerintah Provinsi:
Dinas PU Bina Marga <b>Cipta</b> Karya Pemerintah Kabupaten:
Dinas <b>Pekerjaan</b> Umum A. 2. 1. 1. 1. 2. 4 Pembangunan fly over atau Kecamatan APBD Pemerintah Kabupaten :
underpass ... Pemerintah Kabupaten :
daya manusia lokal untuk Ajibarang; Kabupaten 1. Dinperindag mendukung penyediaan b. Kecamatan 2. Dinas Tenaga <b>Kerja</b>, Koperasi, dan tenaga <b>kerja</b>. Jatilawang; UKM ( Dinakerkop UKM )
c. Kecamatan Kalibagor ;
d. Kecamatan Lumbir;
e. Kecamatan Rawalo; dan
f. Kecamatan Wangon"
,/akn/id/act/permenkop/2025/12,Peraturan Menteri Nomor 12 Tahun 2025 tentang Pelaksanaan Kegiatan Usaha Pertambangan Mineral Logam dan Batubara Koperasi,12,2025,berlaku,,PERMEN,,search:minerba,0.0379954,"Salinan keputusan pengesahan pendirian/PAD; ditolak
3. Salinan NIB; diterima
4. Surat keterangan domisili Koperasi;
5. Rencana usaha kegiatan tambang <b>minerba</b>; 1 hari
6. Denah WIUP yang akan dikelola; Menteri
7. Surat pernyataan kesanggupan untuk mematuhi ketentuan perundang-Menerbitkan SLVA undangan ... bidang pengelolaan lingk ungan hidup, pertambangan <b>minerba</b>;
Notifikasi
8. daftar anggota Koperasi yang dilegalisasi oleh Pengurus yang menunjukkan domisili Anggota ; Penolakan
9. salinan KTP atau surat keterangan domisili Anggota ;
10. berita acara Rapat Anggota atau keputusan Rapat Anggota yang menyetujui"
,/akn/id/act/permenkeu/2025/15,Peraturan Menteri Nomor 15 Tahun 2025 tentang RPMK tentang Pemeriksaan Pajak,15,2025,berlaku,,PERMEN,,search:cipta kerja,0.323937,"Undang-Undang Nomor 6 Tahun 2023 Penetapan Peraturan Pemerintah Pengganti Un-dang-Undan g Nomor 2 Tahun 2022 tentang <b>Cipta</b> <b>Kerja</b> Menjadi Undang-Undang.
Pasfoto (4) ……………, …………… (10) …………………………. (11) …………………………. (12) Tanda Tangan: NIP …………………………….
…………………………………………………... (5)

TANDA PENGENAL PEMERIKSA PAJAK Bentuk : persegi empat ... dengan Undang-Undang Nomor 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang <b>Cipta</b> <b>Kerja</b> Menjadi Undang-Undang.
MEMERINTAHKAN:
Kepada : No Nama NIP Pangkat/ Jabatan Golongan
(4) (5) (6) (7) (8) Untuk : 1. melakukan"
,/akn/id/act/permen-esdm/2025/20,Peraturan Menteri Nomor 20 Tahun 2025 tentang Rencana Strategis Kementerian Energi dan Sumber Daya Mineral Tahun 2025 2029,20,2025,berlaku,,PERMEN,,search:minerba,0.0468033,"industrialisasi <b>minerba</b> melalui teknologi yang mutakhir .
10. Mengoptimalkan produksi <b>minerba</b> melalui penggunaan teknologi yang mutakhir .
11. Meningkatkan pengelolaan data cadangan <b>minerba</b> melalui teknologi cerdas dan mutakhir .
12. Mendorong integrasi antara tambang dan smelter dalam pengelolaan <b>minerba</b> untuk mengamankan bahan baku ... Indeks (Skala 100)) DBT Sasaran Program 4 Pembinaan dan Pengawasan <b>Minerba</b> yang Efektif serta Pengelolaan Lingkungan Hidup <b>Minerba</b> yang Berkualitas 1 Indeks Pembinaan dan DBP Pengawasan Subsektor DBM <b>Minerba</b> (Indeks (Skala Pusat"
,/akn/id/act/permentrans/2025/3,Peraturan Menteri Nomor 3 Tahun 2025 tentang Bentuk Pelaksanaan Penanaman Modal dan Tata Cara Pemberian Izin Penanaman Modal di Kawasan Transmigrasi,3,2025,berlaku,,PERMEN,,search:penanaman modal,0.60754,PERMEN Peraturan Menteri Nomor No 3 Tahun 2025 Peraturan Menteri Nomor 3 Tahun 2025 tentang Bentuk Pelaksanaan <b>Penanaman</b> <b>Modal</b> dan Tata Cara Pemberian Izin <b>Penanaman</b> <b>Modal</b> di Kawasan Transmigrasi Bentuk Pelaksanaan <b>Penanaman</b> <b>Modal</b> dan Tata Cara Pemberian Izin <b>Penanaman</b> <b>Modal</b>
,/akn/id/act/permenaker/2025/9,Peraturan Menteri Nomor 9 Tahun 2025 tentang Rencana Strategis Kementerian Ketenagakerjaan Tahun 2025 2029,9,2025,berlaku,,PERMEN,,search:cipta kerja,0.359845,"<b>kerja</b>, mobilitas <b>pekerjaan</b>, hingga fase transisi seperti kehilangan <b>pekerjaan</b>, pensiun, atau berganti sektor.
Pendekatan ini berlaku tidak hanya bagi <b>pekerja</b> atau pencari <b>kerja</b>, tetapi juga bagi pemb eri <b>kerja</b>. Setiap pelaku usaha menghadapi siklus dinamis yang memengaruhi kebutuhan tenaga <b>kerja</b> ... Tenaga <b>Kerja</b> Penempatan Ketenagakerjaan Penempatan Tenaga <b>Kerja</b> Tenaga <b>Kerja</b> dan Pemberdayaan Tenaga <b>Kerja</b> Perluasan Direktorat Kesempatan <b>Kerja</b> Perluasan Kesempatan <b>Kerja</b> Balai Besar Pengemb angan Pasar <b>Kerja</b> dan Perluasan Peningkatan Direk torat Pengendalian Pengendalia n Penggunaan TKA Penggunaan Tenaga <b>Kerja</b> Asing"
